Reference;Ele principle;Ele Principle num;Sensing;Sensing num;Print;Print num;M0;M;Delta Er;Rel Sensitivity;Directly Printed;Mat;Mat num;Custom mat;Print concat;Sens concat
B. Li et al. 2022;Piezoresistive;1;Auxetic;2;FDM;1;0;0.15;1.30E-01;0.866666667;a;Carbon;1;b;FDM-a;Auxetic-b
D. Xiang et al. 2020*;Piezoresistive;1;Material;1;FDM;1;0;0.3;9.55E+00;31.82;b;Carbon;1;b;FDM-b;Material-b
J. McGhee et al. 2018;Piezoresistive;1;Material;1;FDM;1;0;0.1;4.78E-01;4.782608696;b;Carbon;1;a;FDM-b;Material-a
M. Al-Rubaiai et al. 2019;Piezoresistive;1;Material;1;FDM;1;0;0.02;-4.00E-01;33.33333333;b;Carbon;1;a;FDM-b;Material-a
R. Chirila et al. 2022;Piezoresistive;1;Material;1;FDM;1;0;0.167;4.00E-01;2.395209581;b;Carbon;1;a;FDM-b;Material-a
S. Mousavi et al. 2020*;Piezoresistive;1;Porous;4;FDM;1;0;0.005;6.71E+00;1342;b;Carbon;1;b;FDM-b;Porous-b
S. Mousavi et al. 2022;Piezoresistive;1;Microcracks;5;FDM;1;0;0.97;1.47E+02;151.0309278;a;Carbon;1;b;FDM-a;Microcracks-b
X. Chen et al. 2022*;Piezoresistive;1;Material;1;FDM;1;0;0.5;5.76E+00;11.52;b;Carbon;1;b;FDM-b;Material-b
Z. Li et al. 2021;Piezoresistive;1;Porous;4;FDM;1;0;-0.02;1.09E+00;54.58;b;Carbon;1;b;FDM-b;Porous-b
Z. Li et al. 2023 2;Piezoresistive;1;Porous;4;FDM;1;0;-0.6;9.60E-01;1.6;b;Carbon;1;b;FDM-b;Porous-b
Z. Zhang et al. 2022;Piezoresistive;1;Material;1;FDM;1;0;1.5;3.59E+01;23.93333333;b;Carbon;1;b;FDM-b;Material-b
C. Ma et al. 2023;Piezoresistive;1;Material;1;DIW;2;0;0.2;3.84E+02;1918.4;b;Carbon;1;b;DIW-b;Material-b
J. Muth et al. 2014;Piezoresistive;1;Material;1;DIW;2;0;1;5.33E+00;5.333333333;b;Carbon;1;b;DIW-b;Material-b
P. Wei et al. 2019;Piezoresistive;1;Material;1;DIW;2;0;1;8.00E-01;0.8;b;Carbon;1;b;DIW-b;Material-b
W. Yan et al. 2023;Piezoresistive;1;Auxetic;2;DIW;2;0;0.31;5.65E+00;18.23;b;Carbon;1;b;DIW-b;Auxetic-b
B. Gackowski et al. 2023*;Piezoresistive;1;Material;1;FDM/DIW;3;0;0.1;1.50E+00;15;b;Carbon;1;b;FDM/DIW-b;Material-b
G. Liu et al. 2024;Piezoresistive;1;Material;1;FDM/DIW;3;0;0.35;6.00E-01;1.714285714;b;Metal;2;b;FDM/DIW-b;Material-b
P. Karipoth et al. 2023;Piezoresistive;1;Material;1;AJP;4;0;0.0077;1.42E-01;18.44155844;b;Carbon;1;b;AJP-b;Material-b
P. Karipoth et al. 2023;Piezoresistive;1;Material;1;AJP;4;0;-0.0077;-4.34E-01;99.5823964;b;Carbon;1;b;AJP-b;Material-b
T. Rahman et al. 2018;Piezoresistive;1;Material;1;AJP;4;0;0.001;3.28E-03;3.28;b;Metal;2;a;AJP-b;Material-a
Y. Zhang et al. 2023;Piezoresistive;1;Material;1;AJP;4;0;0.25;5.80E+00;23.2;b;Metal;2;b;AJP-b;Material-b
Q. Mu et al. 2017;Piezoresistive;1;Material;1;DLP;5;0;0.021;8.00E-01;38.0952381;b;Carbon;1;b;DLP-b;Material-b
T. Xiao et al. 2021*;Piezoresistive;1;Material;1;DLP;5;0;0.6;3.80E+00;6.333333333;b;Carbon;1;b;DLP-b;Material-b
Z. Pei et al. 2021;Piezoresistive;1;Porous;4;DLP;5;0;0.675;1.78E+00;2.64;a;Carbon;1;b;DLP-a;Porous-b
T. Resendes et al. 2024;Piezoresistive;1;Material;1;SLS;7;0;0.04;1.54E+00;38.51508121;a;Wire;4;a;SLS-a;Material-a
Q. Mu et al. 2017;Capacitance;2;Displacement;6;DLP;5;0;-0.7;1.60E-01;0.228571429;b;Carbon;1;b;DLP-b;Displacement-b
K. Babkovi? et al. 2023;Inductance;3;Alignment;7;FDM;1;0;17.33;1.21E-01;0.007010694;a;Wire;4;a;FDM-a;Alignment-a
M. Kisi? et al. 2023;Inductance;3;Alignment;7;FDM;1;0;20;-4.24E-01;0.036842105;a;Wire;4;a;FDM-a;Alignment-a
C. Okutani et al. 2022;Inductance;3;Displacement;6;SLA;6;0;1;-1.51E-01;0.178343949;a;Wire;4;a;SLA-a;Displacement-a
M. Kisi? et al. 2023;Frequency;4;Alignment;7;FDM;1;0;20;1.63E-01;0.008148893;a;Wire;4;a;FDM-a;Alignment-a